6/9/2026 9:00:00,parker@solrivercapital.com,Auburn,Inverter,,Comm Failure,1,MODULE 1,6/9/2026,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,Repair,6/9/2026,,,1,,,,,,,,,,,,5:29:39 PM,5:32:56 PM,,
6/9/2026 9:00:00,parker@solrivercapital.com,Bulloch 1B,Inverter,,Comm Failure,26,Inverter 16-Inverter 20 (26 devices),6/9/2026,26 inverters affected. This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,Repair,6/9/2026,,,1,,,,,,,,,,,,12:34:00 AM,9:09:00 PM,,
6/9/2026 9:00:00,parker@solrivercapital.com,Butler Maple,Site,,Rule Fail,1,,6/9/2026,"Errors: , Performance (3)	 Communication: All tests passed",Repair,,,,0,,,,,,,,,,,,3:47:43 PM,,,
6/9/2026 9:00:00,parker@solrivercapital.com,Graham,Data Acq,,Gateway Offline,1,ALSOENERGY SMART UPS,6/9/2026,This error may be the result of one of the following:	 1. Wiring problem between the gateway and the internet connection.,Repair,6/9/2026,,,0,,,,,,,,,,,,9:35:55 PM,10:11:34 PM,,
6/9/2026 9:00:00,parker@solrivercapital.com,Graham,Inverter,,Comm Failure,9,4-11 (9 devices),6/9/2026,9 inverters affected. This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,Outage,6/9/2026,,,1,,,,,,,,,,,,11:21:00 AM,4:52:00 PM,,
6/9/2026 9:00:00,parker@solrivercapital.com,Graham,Inverter,,Inverter Fault,13,1-25 (13 devices),6/9/2026,13 inverters affected. Inverter Faults Detected,Repair,6/9/2026,,,1,,,,,,,,,,,,11:21:00 AM,11:57:00 PM,,
6/9/2026 9:00:00,parker@solrivercapital.com,Graham,Inverter,,Inverter Fault,41,1-25 (41 devices),6/9/2026,41 inverters affected. Hardware self test failure,Repair,6/9/2026,,,1,,,,,,,,,,,,12:01:00 AM,10:58:00 PM,,
6/9/2026 9:00:00,parker@solrivercapital.com,Graham,Site,,Rule Fail,1,,6/9/2026,"Errors: , Performance (41)	 Communication: 3 test suites failed out of 5 (21 new messages)",Repair,,,,0,,,,,,,,,,,,4:24:26 PM,,,
6/9/2026 9:00:00,parker@solrivercapital.com,Eagle,Inverter,,Inverter Fault,1,CPS SCH125kTL Inv - 8,6/9/2026,External Fan Err - ExtFanerr,Repair,,,,1,,,,,,,,,,,,7:42:37 PM,,,
6/9/2026 9:00:00,parker@solrivercapital.com,Elk,Site,,Rule Fail,1,,6/9/2026,"Errors: , Performance (19)	 Communication: 3 test suites failed out of 5 (37 new messages)",Repair,,,,0,,,,,,,,,,,,5:50:07 AM,,,
